MPC,MPC SIZE,"Net Amount no VAT (Ret, 445)","Qty sold (Ret, 445)",On hand Qty,In transit Qty,445 Year,445 Month,445 Week,Date YYYYMMDD,Transaction ID,Min Sale Date (Ret),Country,Store,Gender (code),Comm. Category SubGroup,Comm. Category Group,Comm. Category,Comm. SubCategory,Operative Brand,Group,Style (code),Fabric (code),Color (code),Color,Fabric,Theme (code),Current Sale Season (code),Size (code),MFO/EOS,MD DATE,CURRENT MD STATUS,MD %,SEASON DROP
1014246DVIT2T1KB7V,1014246DVIT2T1KB7V@UNICA,787.19,1,11,0,FY2026,06,22,20250824,17662205,8/24/2025,Canada,OUTLET Halton Hills,F,BAGS,Accessories,BAGS,TOP HANDLE,Versace Accessories,LA MEDUSA,1014246,DVIT2T,1KB7V,Summer Nude - Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,,FP,,Prev Gaze (SS24 or older)
ABD01093A232185A1008,ABD01093A232185A1008@4,62.5,1,,0,FY2026,06,22,20250824,17662206,8/24/2025,USA,OUTLET NY Woodbury,F,RTW,Ready to Wear,BEACHWEAR,SWIMSUIT,Versace Underwear and Beachwear,-missing description-,ABD01093,A232185,A1008,Black,LYCRA VITA RECYCLED,*,2024PE,4,EOS,20250130,MD,70%,SS24 U&B DTO Targeted Pricing
AUD01039A232741A1008,AUD01039A232741A1008@3,47.5,1,,0,FY2026,06,22,20250824,17662206,8/24/2025,USA,OUTLET NY Woodbury,F,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,-missing description-,AUD01039,A232741,A1008,Black,JERSEY TOPEKA BI-STRETCH COTTON ORGANIC,*,2024PE,3,EOS,20250926,MD,60%,SS24 U&B DTO Targeted Pricing
10133631A021501B00V,10133631A021501B00V@UNICA,131.25,1,3,0,FY2026,06,22,20250824,17662207,8/24/2025,USA,OUTLET Chicago Fashion,M,SLG,Accessories,SLG,CARD CASE/COIN PURSE,Versace Accessories,ICON,1013363,1A02150,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,UNICA,MFO,,FP,,ACT SS25 GAZE
10062721A042641B000,10062721A042641B000@430,250,1,2,0,FY2026,06,22,20250824,17662210,8/24/2025,USA,OUTLET Camarillo Premium,M,SHOES,Accessories,SHOES,SANDALS,Versace Accessories,OTHER,1006272,1A04264,1B000,Black,RUBBER,MFO,2024PE,430,MFO,,FP,,FW24 MFO Main Drop 1
10062721A042641B000,10062721A042641B000@440,-250,-1,2,0,FY2026,06,22,20250824,17662210,8/24/2025,USA,OUTLET Camarillo Premium,M,SHOES,Accessories,SHOES,SANDALS,Versace Accessories,OTHER,1006272,1A04264,1B000,Black,RUBBER,MFO,2024PE,440,MFO,,FP,,FW24 MFO Main Drop 1
10133521A039121E99V,10133521A039121E99V@UNICA,732.9,1,4,1,FY2026,06,22,20250824,17662211,8/24/2025,Canada,OUTLET Halton Hills,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013352,1A03912,1E99V,Greige - Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024AI,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
O4438BFOGB18752ONUL,O4438BFOGB18752ONUL@TU,216.43,1,4,0,FY2026,06,22,20250824,17662211,8/24/2025,Canada,OUTLET Halton Hills,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4438BF,OGB18752,ONUL,NUL,BLACK,*,*,TU,EOS,,FP,,EOS Licenses for OUTL -OUTLET ATS
10122601A102422B130,10122601A102422B130@5XL,296.25,1,2,0,FY2026,06,22,20250824,17662216,8/24/2025,USA,OUTLET Miami Sawgrass,M,RTW,Ready to Wear,JERSEY,POLO,Versace Apparel,-missing description-,1012260,1A10242,2B130,Black+Gold,COTTON PIQUET 30/1 + HERITAGE PRINT COLLAR + LOGO EMBROIDERY,MFO,2024PE,5XL,MFO,20250926,MD,30%,Prev Gaze (SS24 or older)
10139061A123451B000,10139061A123451B000@5XL,469.12,1,,0,FY2026,06,22,20250824,17662216,8/24/2025,USA,OUTLET Miami Sawgrass,M,RTW,Ready to Wear,JERSEY,POLO,Versace Apparel,-missing description-,1013906,1A12345,1B000,Black,PIQUET FABRIC + HOTFIX MEDUSA EMBROIDERY,*,2024AI,5XL,EOS,,FP,,FW24 EOS - Aug 25 Drop
10133631A105011B00V,10133631A105011B00V@UNICA,168.75,1,3,0,FY2026,06,22,20250824,17662216,8/24/2025,USA,OUTLET Miami Sawgrass,M,SLG,Accessories,SLG,CARD CASE/COIN PURSE,Versace Accessories,ICON,1013363,1A10501,1B00V,Black-Versace Gold,CROC CALF LEATHER,MFO,2025PE,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
O4384BOGB18754ONUL,O4384BOGB18754ONUL@TU,249,1,8,0,FY2026,06,22,20250824,17662217,8/24/2025,USA,OUTLET Houston Premium,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4384B,OGB18754,ONUL,NUL,BLACK,*,*,TU,EOS,,FP,,SS24 EOS - HOME/LIC
O4314OGB111ONUL,O4314OGB111ONUL@TU,149.4,1,9,0,FY2026,06,22,20250824,17662221,8/24/2025,USA,OUTLET Miami Sawgrass,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4314,OGB111,ONUL,NUL,COL.GB111,*,*,TU,EOS,20241115,MD,40%,"EOS Licenses for OUTL -AGED, SLOWSELLERS OUTL"
10145661A140542W010,10145661A140542W010@38,296.25,1,3,0,FY2026,06,22,20250824,17662223,8/24/2025,USA,OUTLET Houston Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1014566,1A14054,2W010,Optical White + Medium Grey,COTTON JERSEY FABRIC WITH MEDUSA RHINESTONE EMBROIDERY + STUDS,MFO,2024PE,38,MFO,,FP,,Prev Gaze (SS24 or older)
10133531A039121B00P,10133531A039121B00P@UNICA,492.75,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013353,1A03912,1B00P,Black-Palladium,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
10123831A091441D030,10123831A091441D030@27,356.25,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,DENIM/JEANS,PANTS,Versace Apparel,-missing description-,1012383,1A09144,1D030,Medium Blue,BLUE DENIM STRETCH STONE WASH +  MEDUSA EMBROIDERY,MFO,2023AI,27,MFO,,FP,,Prev Gaze (SS24 or older)
10063251A103022B130,10063251A103022B130@44,472.5,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,DRESS,DRESS,Versace Apparel,-missing description-,1006325,1A10302,2B130,Black+Gold,ENVER SATIN CADY FABRIC WITH HERITAGE PRINT DETAILS,MFO,2024PE,44,MFO,20250926,MD,70%,Prev Gaze (SS24 or older)
10192461A085881B000,10192461A085881B000@44,286.87,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,JACKET,INFORMAL JACKET,Versace Apparel,-missing description-,1019246,1A08588,1B000,Black,LUREX CLOQUET FABRIC,MFO,2024PE,44,MFO,20250814,MD,70%,SS24 MFO Main Drop 1
10152981A106222W210,10152981A106222W210@48,174.37,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1015298,1A10622,2W210,White+Crystal,FLEECE FABRIC SERIES EMBROIDERY HOTFIX LOGO NEW VERSACE '80S,*,2024PE,48,EOS,20250731,MD,70%,SS24 EOS- Feb 25 Drop
10102591A120362WW20,10102591A120362WW20@38,213.3,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1010259,1A12036,2WW20,White+Mint,COTTON JERSEY FABRIC LOGO PRINT,MFO,2024PE,38,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10192421A085881B000,10192421A085881B000@44,217.5,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,RTW,Ready to Wear,SKIRT,SKIRT,Versace Apparel,-missing description-,1019242,1A08588,1B000,Black,LUREX CLOQUET FABRIC,MFO,2024PE,44,MFO,20250827,MD,70%,SS24 MFO Main Drop 1
10146181A081761B00V,10146181A081761B00V@390,185.62,1,,0,FY2026,06,22,20250824,17662224,8/24/2025,USA,OUTLET Wrentham,F,SHOES,Accessories,SHOES,PUMP/SLINGBACKS,Versace Accessories,ICON,1014618,1A08176,1B00V,Black-Versace Gold,PATENT LEATHER+METAL HW,MFO,2023AI,390,MFO,20250926,MD,60%,FW23 MFO Drop 1
10144271A138352WW90,10144271A138352WW90@M,221.25,1,,0,FY2026,06,22,20250824,17662228,8/24/2025,USA,OUTLET Orlando Vineland Premium,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1014427,1A13835,2WW90,White+Coral,COTTON JERSEY + GRECA PRINT,MFO,2024PE,M,MFO,20250926,MD,30%,SS24 MFO Main Drop 2
10101191A137615U960,10101191A137615U960@52,-288.75,-1,2,0,FY2026,06,22,20250824,17662229,8/24/2025,USA,OUTLET Las Vegas North Premium,M,RTW,Ready to Wear,PANTS,SHORT PANTS,Versace Apparel,-missing description-,1010119,1A13761,5U960,Navy Blue,TWILL POLY GRS BAROQUE LEAF PRINT,MFO,2024PE,52,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10101191A137615U960,10101191A137615U960@54,288.75,1,1,0,FY2026,06,22,20250824,17662229,8/24/2025,USA,OUTLET Las Vegas North Premium,M,RTW,Ready to Wear,PANTS,SHORT PANTS,Versace Apparel,-missing description-,1010119,1A13761,5U960,Navy Blue,TWILL POLY GRS BAROQUE LEAF PRINT,MFO,2024PE,54,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10118511A140491UI20,10118511A140491UI20@S,262.5,1,2,0,FY2026,06,22,20250824,17662231,8/24/2025,USA,OUTLET Wrentham,M,RTW,Ready to Wear,JERSEY,POLO,Versace Apparel,-missing description-,1011851,1A14049,1UI20,Navy Blue,PIQUET FABRIC + VERSACE EMBROIDERY,MFO,2024PE,S,MFO,20250926,MD,30%,SS24 MFO Main Drop 1
1015534DVIT2T1KB7V,1015534DVIT2T1KB7V@UNICA,731.25,1,13,0,FY2026,06,22,20250824,17662234,8/24/2025,USA,OUTLET NY Woodbury,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,LA MEDUSA,1015534,DVIT2T,1KB7V,Summer Nude - Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
10192281A020871KB7V,10192281A020871KB7V@365,412.5,1,,0,FY2026,06,22,20250824,17662234,8/24/2025,USA,OUTLET NY Woodbury,F,SHOES,Accessories,SHOES,PUMP/SLINGBACKS,Versace Accessories,LA MEDUSA,1019228,1A02087,1KB7V,Summer Nude - Versace Gold,CALF LEATHER,MFO,2024PE,365,MFO,20250926,MD,20%,SS24 MFO Main Drop 1
O4417UO1087356ONUL,O4417UO1087356ONUL@TU,174.3,1,7,0,FY2026,06,22,20250824,17662239,8/24/2025,USA,OUTLET NY Woodbury,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4417U,O1087356,ONUL,NUL,HAVANA,*,*,TU,EOS,20250814,MD,30%,"EOS Licenses for OUTL -AGED, SLOWSELLERS OUTL"
10103251A014885B05V,10103251A014885B05V@105,312.16,1,1,0,FY2026,06,22,20250824,17662241,8/24/2025,Canada,OUTLET Halton Hills,M,BELT,Accessories,BELT,BELT,Versace Accessories,LA MEDUSA,1010325,1A01488,5B05V,Black-Gray-Versace Gold,COATED CANVAS MONOGRAM+CALF,MFO,2024AI,105,MFO,,FP,,FW24 MFO Main Drop 1
DSR257CSDGORD41,DSR257CSDGORD41@380,275,1,1,0,FY2026,06,22,20250824,17662242,8/24/2025,USA,OUTLET Miami Sawgrass,F,SHOES,Accessories,SHOES,FLAT SANDALS,Versace Accessories,LA MEDUSA,DSR257CS,DGOR,D41,Black,GOMMA,MFO,2024PE,380,MFO,,FP,,SS24 MFO Main Drop 2
10142781A120422B02V,10142781A120422B02V@UNICA,497.5,1,,0,FY2026,06,22,20250824,17662246,8/24/2025,USA,OUTLET NY Woodbury,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,VIRTUS,1014278,1A12042,2B02V,Black+White-Gold Versace,DEER PRINT CALF LEATHER,MFO,2024PE,UNICA,MFO,20250926,MD,50%,SS24 MFO Main Drop 1
10145551A104202B130,10145551A104202B130@42,206.25,1,2,0,FY2026,06,22,20250824,17662247,8/24/2025,USA,OUTLET SF Livermore,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1014555,1A10420,2B130,Black+Gold,COTTON JERSEY FABRIC WITH MEDUSA HOTFIX EMBROIDERY,MFO,2025PE,42,MFO,,FP,,ACT SS25 GAZE
R742010R100MLSRNUL,R742010R100MLSRNUL@TU,139,1,13,0,FY2026,06,22,20250824,17662253,8/24/2025,USA,OUTLET Miami Sawgrass,M,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R742010,R100MLS,RNUL,NUL,100 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
10135681A094492KG1C,10135681A094492KG1C@370,595,1,1,1,FY2026,06,22,20250824,17662254,8/24/2025,USA,OUTLET Miami Sawgrass,F,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,LA GRECA,1013568,1A09449,2KG1C,Beige+Off White-Light Gold,FABRIC+ RESPONSIBLE FABRIC,*,2026PE,370,EOS,,FP,,"FP La greca sneaker styles - Jun 25 Drop, Expanded to Additional Doors Sep 25"
1008105DVIT2T1W00V,1008105DVIT2T1W00V@UNICA,131.25,1,3,0,FY2026,06,22,20250824,17662255,8/24/2025,USA,OUTLET Chicago Fashion,F,SLG,Accessories,SLG,CARD CASE/COIN PURSE,Versace Accessories,LA MEDUSA,1008105,DVIT2T,1W00V,Optical White-Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,,FP,,Prev Gaze (SS24 or older)
1015533DVIT2T1KB7V,1015533DVIT2T1KB7V@UNICA,656.25,1,33,0,FY2026,06,22,20250824,17662256,8/24/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,TOTE,Versace Accessories,LA MEDUSA,1015533,DVIT2T,1KB7V,Summer Nude - Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
10168741A118611B000,10168741A118611B000@400,297,1,1,0,FY2026,06,22,20250824,17662257,8/24/2025,USA,OUTLET Orlando Vineland Premium,F,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,MERCURY,1016874,1A11861,1B000,Black,CALF LEATHER,*,2025PE,400,EOS,,FP,,Mercury Sneakers All Doors (Selling all 3 channels) - Jun 25 drop
O4434O51198754ONUL,O4434O51198754ONUL@TU,249,1,5,0,FY2026,06,22,20250824,17662258,8/24/2025,USA,OUTLET North Georgia Premium,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4434,O51198754,ONUL,NUL,HAVANA,*,*,TU,EOS,,FP,,SS24 EOS - HOME/LIC
10133531A093212VE9V,10133531A093212VE9V@UNICA,657,1,,0,FY2026,06,22,20250824,17662259,8/24/2025,USA,OUTLET Wrentham,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013353,1A09321,2VE9V,Baby Blue+Gentian Blue-Versace Gold,FABRIC JACQUARD+CALF LEATHER,MFO,2024PE,UNICA,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10119421A086836WB60,10119421A086836WB60@410,288.75,1,1,1,FY2026,06,22,20250824,17662260,8/24/2025,USA,OUTLET Miami Sawgrass,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,NEW RUNNER,1011942,1A08683,6WB60,White+Black+Royal Blue,FABRIC+CALF LEATHER+CALF LEATHER+FABRIC,MFO,2024PE,410,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
10192231A139842VE7V,10192231A139842VE7V@UNICA,267.75,1,,0,FY2026,06,22,20250824,17662261,8/24/2025,USA,OUTLET Houston Premium,F,SLG,Accessories,SLG,POUCH,Versace Accessories,ICON,1019223,1A13984,2VE7V,Pale Blue+White-Versace Gold,FABRIC+CALF LEATHER,MFO,2024PE,UNICA,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10147341A020871B00V,10147341A020871B00V@410,412.5,1,,0,FY2026,06,22,20250824,17662262,8/24/2025,USA,OUTLET San Marcos Premium,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,TRIBUTE,1014734,1A02087,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,410,MFO,,FP,,ACT SS25 GAZE
PVE2T005P0022PNUL,PVE2T005P0022PNUL@TU,690,1,,0,FY2026,06,22,20250824,17662265,8/24/2025,USA,OUTLET Las Vegas North Premium,M,LICENSES,Licenses,WATCHES,WATCHES,Versace Precious Items,-missing description-,PVE2T005,P0022,PNUL,NUL,2022,*,*,TU,EOS,,FP,,EOS Licenses for OUTL -OUTLET ATS
10193291A139131B000,10193291A139131B000@52,468.75,1,,0,FY2026,06,22,20250824,17662267,8/24/2025,USA,OUTLET Wrentham,M,RTW,Ready to Wear,KNITWEAR,SWEATER,Versace Apparel,-missing description-,1019329,1A13913,1B000,Black,BASIC NEW MEDUSA EMBROIDERY VISCOSE BLEND,MFO,2024PE,52,MFO,,FP,,SS24 MFO Main Drop 1
1021611DVIT3T1U38V,1021611DVIT3T1U38V@UNICA,774.37,1,,2,FY2026,06,22,20250824,17662268,8/24/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,TOTE,Versace Accessories,LA MEDUSA,1021611,DVIT3T,1U38V,Blue-Blue-Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,20250827,MD,40%,FW24 MFO Main Drop 0
